# SCOWL rarity tier for scowl-60: smallest SCOWL size each word appears at (lower = more common; generated by scripts/build_wordlist.py)
alehouse	60
alehouses	60
alembic	60
alembics	60
alert	35
alerted	35
alerting	35
alertly	50
alertness	50
alerts	35
ales	35
alewife	60
alewives	60
alfalfa	40
alfresco	50
alga	50
algae	35
algal	60
algebra	35
algebraic	35
algebraically	50
algebras	35
algorithm	35
algorithmic	50
algorithms	35
alias	35
aliased	35
aliases	35
aliasing	35
alibi	35
alibied	35
alibiing	35
alibis	35
alien	35
alienable	50
alienate	35
alienated	35
alienates	35
alienating	35
alienation	35
alienist	60
alienists	60
aliens	35
alight	35
alighted	35
alighting	35
alights	35
align	35
aligned	35
aligner	60
aligners	60
aligning	35
alignment	35
alignments	35
aligns	35
alike	35
aliment	60
alimentary	50
alimented	60
alimenting	60
aliments	60
alimony	35
alive	35
aliveness	60
aliyah	60
aliyahs	60
alkali	35
alkalies	35
alkaline	35
alkalinity	50
alkalize	60
alkalized	60
alkalizes	60
alkalizing	60
alkaloid	50
alkaloids	50
alkyd	60
alkyds	60
all	35
allay	35
allayed	35
allaying	35
allays	35
allegation	35
allegations	35
allege	35
alleged	35
allegedly	35
alleges	35
allegiance	35
allegiances	35
alleging	35
allegoric	60
allegorical	35
allegorically	50
allegories	35
allegorist	60
allegorists	60
allegory	35
allegretto	60
allegrettos	60
allegro	50
allegros	50
allele	60
alleles	60
alleluia	50
alleluias	50
allergen	50
allergenic	50
allergens	50
allergic	35
allergically	60
allergies	35
allergist	50
allergists	50
allergy	35
alleviate	35
alleviated	35
alleviates	35
alleviating	35
alleviation	40
alley	35
alleys	35
alleyway	50
alleyways	50
alliance	35
alliances	35
allied	35
allies	35
alligator	35
alligators	35
allistic	60
allistics	60
alliterate	60
alliterated	60
alliterates	60
alliterating	60
alliteration	50
alliterations	50
alliterative	50
alliteratively	60
allocate	35
allocated	35
allocates	35
allocating	35
allocation	35
allocations	35
allot	35
allotment	35
allotments	35
allots	35
allotted	35
allotting	35
allover	60
allow	35
allowable	35
allowably	60
allowance	35
allowances	35
allowed	35
allowing	35
allows	35
alloy	35
alloyed	35
alloying	35
alloys	35
allspice	50
allude	35
alluded	35
alludes	35
alluding	35
allure	35
allured	35
allurement	60
allurements	60
allures	35
alluring	35
alluringly	60
allusion	35
allusions	35
allusive	50
allusively	50
allusiveness	60
alluvial	50
alluvium	50
alluviums	50
ally	35
allying	35
almanac	35
almanacs	35
almighty	35
almond	35
almonds	35
almoner	60
almoners	60
almost	35
alms	35
almshouse	60
almshouses	60
aloe	50
aloes	50
aloft	35
aloha	40
alohas	40
alone	35
along	35
alongshore	60
alongside	35
aloof	35
aloofly	60
aloofness	50
alopecia	60
aloud	35
alp	60
alpaca	50
alpacas	50
alpha	35
alphabet	35
alphabetic	35
alphabetical	35
alphabetically	35
alphabetization	60
alphabetizations	60
alphabetize	50
alphabetized	50
alphabetizer	60
alphabetizers	60
alphabetizes	50
alphabetizing	50
alphabets	35
alphanumeric	35
alphanumerical	60
alphanumerically	60
alphas	50
alpine	40
alpines	60
alps	60
already	35
alright	40
also	35
altar	35
altarpiece	60
altarpieces	60
altars	35
alter	35
alterable	35
alteration	35
alterations	35
altercation	40
altercations	40
altered	35
altering	35
alternate	35
alternated	35
alternately	35
alternates	35
alternating	35
alternation	35
alternations	40
alternative	35
alternatively	35
alternatives	35
alternator	35
alternators	50
alters	35
although	35
altimeter	50
altimeters	50
altitude	35
altitudes	35
alto	35
altogether	35
altos	35
altruism	35
altruist	50
altruistic	35
altruistically	50
altruists	50
alum	50
alumina	60
aluminum	35
alumna	40
alumnae	40
alumni	40
alumnus	40
alums	50
alveolar	60
alveolars	60
always	35
am	35
amalgam	50
amalgamate	35
amalgamated	35
amalgamates	35
amalgamating	35
amalgamation	35
amalgamations	35
amalgams	50
amanuenses	50
amanuensis	50
amaranth	50
amaranths	50
amaretto	60
amaryllis	50
amaryllises	50
amass	35
amassed	35
amasses	35
amassing	35
amateur	35
amateurish	35
amateurishly	60
amateurishness	60
amateurism	50
amateurs	35
amatory	50
amaze	35
amazed	35
amazement	35
amazes	35
amazing	35
amazingly	35
amazon	50
amazonian	60
amazons	50
ambassador	35
ambassadorial	40
ambassadors	35
ambassadorship	50
ambassadorships	50
ambassadress	60
ambassadresses	60
amber	35
ambergris	50
ambiance	35
ambiances	35
ambidexterity	60
ambidextrous	35
ambidextrously	50
ambient	35
ambiguities	35
ambiguity	35
ambiguous	35
ambiguously	35
ambit	60
ambition	35
ambitions	35
ambitious	35
ambitiously	35
ambitiousness	50
ambivalence	35
ambivalent	35
ambivalently	50
amble	35
ambled	35
ambler	60
amblers	60
ambles	35
ambling	35
ambrosia	50
ambrosial	60
ambulance	35
ambulanceman	60
ambulancemen	60
ambulances	35
ambulancewoman	60
ambulancewomen	60
ambulant	60
ambulate	60
ambulated	60
ambulates	60
ambulating	60
ambulation	60
ambulations	60
ambulatories	50
ambulatory	50
ambuscade	60
ambuscaded	60
ambuscades	60
ambuscading	60
ambush	35
ambushed	35
ambushes	35
ambushing	35
ameliorate	40
ameliorated	40
ameliorates	40
ameliorating	40
amelioration	40
ameliorative	60
amen	35
amenability	60
amenable	35
amenably	60
amend	35
amendable	50
amended	35
amending	35
amendment	35
amendments	35
amends	35
amenities	35
amenity	35
amerce	60
amerced	60
amercement	60
amercements	60
amerces	60
amercing	60
americium	60
amethyst	35
amethysts	35
amiability	50
amiable	35
amiably	35
amicability	50
amicable	35
amicably	35
amid	35
amide	60
amides	60
amidship	60
amidships	50
amigo	50
amigos	50
amine	60
amines	60
amino	50
amiss	35
amitriptyline	60
amity	50
ammeter	50
ammeters	50
